id,name,description,price,date,category,image,gender,age,material
34,"Tiny Love - Jucarie electronica Pe urmele lui Fionei","Prin cele 2 miscari, inainte si circulara, catelul Fiona incurajeaza mersul de-a busilea al bebelusului.
Are 2 viteze de miscare, care se pot selecta cu ajutorul comutatorului de pe butonul mare din fata, cel cu o labuta desenata pe el.",31.00,"2015-05-21 11:58:02","Jucarii electronice",tiny-love-jucarie-electronica-pe-urmele-lui-fionei.jpg,,0,
35,"WowWee - Pui Husky","Robot din plus moale.
Are la bazã principiile roboticii biomorfice ;
Buton “Try Me” pentru demonstratie sunete si miscãri ochi/gurã ;
Scoate sunete ce le imitã pe cele ale unui pui real si a cãror intensitate poate fi reglatã ;
Moale si usor de îndrãgit de cãtre copii ;
Gurã care se poate misca si ochi care clipesc ;
Senzori tactili pe cap si spate activati când puiul este mângâiat;
puiul va scânci si va mârâi ;
Senzor de înclinare, care îi permite sã stie dacã e în picioare sau culcat ;
Echipat cu un regim economic în care intrã, dacã nu e folosit mai mult de 5 minute ;
Trei pozitii ale butonului ON/OFF: ON „ Try me”, OFF si ON „Normal”;
Baterii necesare pentru pui : 4 baterii Alcaline Tip „AA” ( incluse) ;",87.00,"2015-05-21 11:59:15","Jucarii electronice",wowwee-pui-de-catel-husky-interactiv.jpg,,0,
36,"WowWee Alive - Pui de leopard interactiv","Pui de leopard din plus moale usor de indragit de copii.

Are la bazã principiile roboticii biomorfice ;
Buton “Try Me” pentru demonstratie sunete si miscãri ochi/gurã ;
Scoate sunete ce le imitã pe cele ale unui pui real si a cãror
intensitate poate fi reglatã ;",78.00,"2015-05-21 11:59:49","Jucarii electronice",wowwee-alive-pui-de-leopard-interactiv.jpg,,0,
37,"Mini Roborover","Robotul RoboReptile este o copie miniaturizata si simplificata a originalului.

Caracteristici:
ochii se aprind
capul si bratele sunt mobile si pot fi pozitionate in diverse pozitii
se deplaseaza inainte cu ajutorul senilelor.
",22.00,"2015-05-21 12:00:25","Jucarii electronice",mini-roborover.jpg,,0,
38,SkyHopper,"Insecta Skyhopper merge, sare si zboara.
10 minute de incarcare echivalentul a 6 minute de zbor.
Se reincarca la telecomanda.
Senzor antiprabusire.
Indicator tip led.
2 moduri : incapator si expert.
Telecomanda necesita 4 baterii tip ''AA'' ( nu sunt incluse).",69.99,"2015-05-21 12:00:57","Jucarii electronice",skyhopper.jpg,,0,
39,"Sleeping Beagle - Pui de beagle Interactiv","Adopta, ingrijeste si iubeste acest Catelus Beagle Interactiv.
 
Caracteristici:
Emite sunete realistice de catel somnoros.
Moale si adora sa fie imbratisat.
Ochii i se inchid si deschid
Daca este mangaiat adoarme sau se trzeste.
Cand i se intoarce capul i se misca labutele.
Poate sa-si ridice capul sau sa il lase jos
Pachetul contine:
catel  somnoros, 4 baterii AA,  manual de instructiuni, paturica si certificat de adoptie.
Varsta recomandata de producator : 3+ ani.
Dimensiune : 30 cm.
Greutate:  2 kg.",76.00,"2015-05-21 12:01:41","Jucarii electronice",sleeping-beagle-pui-de-beagle-interactiv.jpg,,0,
40,"Big Ben","Va prezentăm turnul cu ceas Big Ben – unul din punctele de referință cele mai ușor de recunoscut din lume !",35.00,"2015-05-21 12:03:41",Lego,21013.jpg,,0,
41,"White House","Construieşte replica arhitecturală a maiestuoasei White House cu 6 etaje, ce include o broşură cu date despre clădire, construirea şi istoria ei !",64.33,"2015-05-21 12:04:15",Lego,21006.jpg,,0,
42,"Monumentul lui Lincoln","Construiește un model din cărămizi LEGO® al Monumentului lui Lincoln, monumentul național închinat celui de-al 16-lea președinte al Statelor Unite, Abraham Lincoln.
",45.99,"2015-05-21 12:05:34",Lego,lego-architecture-21022-1.jpg,,0,
44,"Turnul inclinat din Pisa","Construişte faimosul Turn înclinat din Pisa cu arhitectura lui ornamentată şi înclinarea lui care a devenit o adevărată marcă şi dă viaţă acestui simbol al arhitecturii mondiale !",56.00,"2015-05-21 12:08:07",Lego,turnul-pisa-lego21015-2.jpg,,0,
45,"Seattle Space Needle","Construieşte un reper arhitectural cu această replică a celebrului Space Needle din Seattle, ce include o broşură cu date referitoare la design şi istorie !",24.00,"2015-05-21 12:08:45",Lego,21003.jpg,,0,
